RECID=R2012111540000002	辵	chuò
RECID=R2012111540000607	违和	wéi hé
RECID=R2012111540000608	违例	wéi lì
RECID=R2012111540000609	违命	wéi mìng
RECID=R2012111540000610	违法	wéi fǎ
RECID=R2012111540000611	违法乱纪	wéi fǎ luàn jì
RECID=R2012111540000612	违戾	wéi lì
RECID=R2012111540000613	违背	wéi bèi
RECID=R2012111540000614	违逆	wéi nì
RECID=R2012111540000615	违宪	wéi xiàn
RECID=R2012111540000616	违误	wéi wù
RECID=R2012111540000617	违悖	wéi bèi
RECID=R2012111540000618	违教	wéi jiào
RECID=R2012111540000619	违牾	wéi wǔ
RECID=R2012111540000620	违章	wéi zhāng
RECID=R2012111540000621	违禁	wéi jìn
RECID=R2012111540000622	违碍	wéi ài
RECID=R2012111540000623	运	yùn
RECID=R2012111540000624	运力	yùn lì
RECID=R2012111540000625	运气	yùn qì;yùn qì
RECID=R2012111540000626	运斤成风	yùn jīn chéng fēng
RECID=R2012111540000627	运用	yùn yòng
RECID=R2012111540000628	运用之妙，存乎一心	yùn yòng zhī miào cún hū yī xīn
RECID=R2012111540000629	运用自如	yùn yòng zì rú
RECID=R2012111540000630	运动	yùn dòng;yùn dong
RECID=R2012111540000631	运动处方	yùn dòng chǔ fāng
RECID=R2012111540000632	运动场	yùn dòng chǎng
RECID=R2012111540000633	运动会	yùn dòng huì
RECID=R2012111540000634	运动医学	yùn dòng yī xué
RECID=R2012111540000635	运动员	yùn dòng yuán
RECID=R2012111540000636	运动学	yùn dòng xué
RECID=R2012111540000637	运动战	yùn dòng zhàn
RECID=R2012111540000638	运动量	yùn dòng liàng
RECID=R2012111540000639	运价	yùn jià
RECID=R2012111540000640	运行	yùn xíng
RECID=R2012111540000641	运会	yùn huì
RECID=R2012111540000642	运作	yùn zuò
RECID=R2012111540000643	运转	yùn zhuǎn
RECID=R2012111540000644	运命	yùn mìng
RECID=R2012111540000645	运单	yùn dān
RECID=R2012111540000646	运河	yùn hé
RECID=R2012111540000647	运思	yùn sī
RECID=R2012111540000648	运送	yùn sòng
RECID=R2012111540000649	运送局	yùn sòng jú
RECID=R2012111540000650	运神	yùn shén
RECID=R2012111540000651	运费	yùn fèi
RECID=R2012111540000652	运载	yùn zài
RECID=R2012111540000653	运载火箭	yùn zài huǒ jiàn
RECID=R2012111540000654	运笔	yùn bǐ
RECID=R2012111540000655	运能	yùn néng
RECID=R2012111540000656	运营	yùn yíng
RECID=R2012111540000657	运距	yùn jù
RECID=R2012111540000658	运脚	yùn jiǎo
RECID=R2012111540000659	运量	yùn liàng
RECID=R2012111540000660	运销	yùn xiāo
RECID=R2012111540000661	运腕	yùn wàn
RECID=R2012111540000662	运道	yùn dao
RECID=R2012111540000663	运输	yùn shū
RECID=R2012111540000664	运输机	yùn shū jī
RECID=R2012111540000665	运输线	yùn shū xiàn
RECID=R2012111540000666	运输舰	yùn shū jiàn
RECID=R2012111540000667	运输量	yùn shū liàng
RECID=R2012111540000668	运筹	yùn chóu
RECID=R2012111540000669	运筹学	yùn chóu xué
RECID=R2012111540000670	运筹帷幄	yùn chóu wéi wò
RECID=R2012111540000671	运算	yùn suàn
RECID=R2012111540000672	运算器	yùn suàn qì
RECID=R2012111540000673	还	huán
RECID=R2012111540000674	还工	huán gōng
RECID=R2012111540000675	还土	huán tǔ
RECID=R2012111540000676	还口	huán kǒu
RECID=R2012111540000677	还山	huán shān
RECID=R2012111540000678	还乡	huán xiāng
RECID=R2012111540000679	还乡队	huán xiāng duì
RECID=R2012111540000680	还乡团	huán xiāng tuán
RECID=R2012111540000681	还元	huán yuán
RECID=R2012111540000682	还手	huán shǒu
RECID=R2012111540000683	还欠	huán qiàn
RECID=R2012111540000684	还丹	huán dān
RECID=R2012111540000685	还书	huán shū
RECID=R2012111540000686	还击	huán jī
RECID=R2012111540000687	还本	huán běn
RECID=R2012111540000688	还田	huán tián
RECID=R2012111540000689	还付	huán fù
RECID=R2012111540000690	还礼	huán lǐ
RECID=R2012111540000691	还价	huán jià
RECID=R2012111540000692	还阳	huán yáng
RECID=R2012111540000693	还寿经	huán shòu jīng
RECID=R2012111540000694	还声	huán shēng
RECID=R2012111540000695	还报	huán bào
RECID=R2012111540000696	还来	huán lái
RECID=R2012111540000697	还言	huán yán
RECID=R2012111540000698	还枪	huán qiāng
RECID=R2012111540000699	还账	huán zhàng
RECID=R2012111540000700	还骂	huán mà
RECID=R2012111540000701	还俗	huán sú
RECID=R2012111540000702	还音	huán yīn
RECID=R2012111540000703	还炮	huán pào
RECID=R2012111540000704	还神	huán shén
RECID=R2012111540000705	还都	huán dū
RECID=R2012111540000706	还原	huán yuán
RECID=R2012111540000707	还原染料	huán yuán rǎn liào
RECID=R2012111540000708	还钱	huán qián
RECID=R2012111540000709	还债	huán zhài
RECID=R2012111540000710	还席	huán xí
RECID=R2012111540000711	还家	huán jiā
RECID=R2012111540000712	还请	huán qǐng
RECID=R2012111540000713	还课	huán kè
RECID=R2012111540000714	还偿	huán cháng
RECID=R2012111540000715	还情	huán qíng
RECID=R2012111540000716	还琴	huán qín
RECID=R2012111540000717	还揖	huán yī
RECID=R2012111540000718	还敬	huán jìng
RECID=R2012111540000719	还魂	huán hún
RECID=R2012111540000720	还魂丹	huán hún dān
RECID=R2012111540000721	还魂纸	huán hún zhǐ
RECID=R2012111540000722	还魂草	huán hún cǎo
RECID=R2012111540000723	还愿	huán yuàn
RECID=R2012111540000724	还潮	huán cháo
RECID=R2012111540000725	还醒	huán xǐng
RECID=R2012111540000726	还嘴	huán zuǐ
RECID=R2012111540000727	还	hái
RECID=R2012111540000728	还许	hái xǔ
RECID=R2012111540000729	还是	hái shi
RECID=R2012111540000730	连	lián
RECID=R2012111540000731	连一不二	lián yī bù èr
RECID=R2012111540000732	连一连二	lián yī lián èr
RECID=R2012111540000733	连一接二	lián yī jiè èr
RECID=R2012111540000734	连二赶三	lián èr gǎn sān
RECID=R2012111540000735	连三	lián sān
RECID=R2012111540000736	连三并四	lián sān bìng sì
RECID=R2012111540000737	连三接二	lián sān jiē èr
RECID=R2012111540000738	连天	lián tiān
RECID=R2012111540000739	连天烽火	lián tiān fēng huǒ
RECID=R2012111540000740	连比	lián bǐ
RECID=R2012111540000741	连日	lián rì
RECID=R2012111540000742	连日连夜	lián rì lián yè
RECID=R2012111540000743	连日带夜	lián rì dài yè
RECID=R2012111540000744	连中	lián zhòng
RECID=R2012111540000745	连中三元	lián zhòng sān yuán
RECID=R2012111540000746	连手	lián shǒu
RECID=R2012111540000747	连毛	lián máo
RECID=R2012111540000748	连升三级	lián shēng sān jí
RECID=R2012111540000749	连长	lián zhǎng
RECID=R2012111540000750	连片	lián piàn
RECID=R2012111540000751	连片子嘴	lián piàn zi zuǐ
RECID=R2012111540000752	连队	lián duì
RECID=R2012111540000753	连书	lián shū
RECID=R2012111540000754	连击	lián jī
RECID=R2012111540000755	连轧机	lián zhá jī
RECID=R2012111540000756	连号	lián hào
RECID=R2012111540000757	连史	lián shǐ
RECID=R2012111540000758	连史纸	lián shǐ zhǐ
RECID=R2012111540000759	连四纸	lián sì zhǐ
RECID=R2012111540000760	连用	lián yòng
RECID=R2012111540000761	连头带尾	lián tóu dài wěi
RECID=R2012111540000762	连头搭尾	lián tóu dā wěi
RECID=R2012111540000763	连写	lián xiě
RECID=R2012111540000764	连边	lián biān
RECID=R2012111540000765	连发	lián fā
RECID=R2012111540000766	连台	lián tái
RECID=R2012111540000767	连台本戏	lián tái běn xì
RECID=R2012111540000768	连台戏	lián tái xì
RECID=R2012111540000769	连动杆	lián dòng gǎn
RECID=R2012111540000770	连亘	lián gèn
RECID=R2012111540000771	连同	lián tóng
RECID=R2012111540000772	连年	lián nián
RECID=R2012111540000773	连延	lián yán
RECID=R2012111540000774	连任	lián rèn
RECID=R2012111540000775	连向	lián xiàng
RECID=R2012111540000776	连合	lián hé
RECID=R2012111540000777	连衣	lián yī
RECID=R2012111540000778	连衣裙	lián yī qún
RECID=R2012111540000779	连汤带水	lián tāng dài shuǐ
RECID=R2012111540000780	连忙	lián máng
RECID=R2012111540000781	连阴天	lián yīn tiān
RECID=R2012111540000782	连阴雨	lián yīn yǔ
RECID=R2012111540000783	连声	lián shēng
RECID=R2012111540000784	连杆	lián gǎn
RECID=R2012111540000785	连更晓夜	lián gēng xiǎo yè
RECID=R2012111540000786	连连	lián lián
RECID=R2012111540000787	连串	lián chuàn
RECID=R2012111540000788	连作	lián zuò
RECID=R2012111540000789	连坐	lián zuò
RECID=R2012111540000790	连系	lián xì
RECID=R2012111540000791	连补	lián bǔ
RECID=R2012111540000792	连词	lián cí
RECID=R2012111540000793	连纸	lián zhǐ
RECID=R2012111540000794	连环	lián huán
RECID=R2012111540000795	连环马	lián huán mǎ
RECID=R2012111540000796	连环计	lián huán jì
RECID=R2012111540000797	连环扣	lián huán kòu
RECID=R2012111540000798	连环画	lián huán huà
RECID=R2012111540000799	连环图画	lián huán tú huà
RECID=R2012111540000800	连环保	lián huán bǎo
RECID=R2012111540000801	连环套	lián huán tào
RECID=R2012111540000802	连杯	lián bēi
RECID=R2012111540000803	连到	lián dào
RECID=R2012111540000804	连明达夜	lián míng dá yè
RECID=R2012111540000805	连明连夜	lián míng lián yè
RECID=R2012111540000806	连明彻夜	lián míng chè yè
RECID=R2012111540000807	连夜	lián yè
RECID=R2012111540000808	连底	lián dǐ
RECID=R2012111540000809	连宗	lián zōng
RECID=R2012111540000810	连衫裙	lián shān qún
RECID=R2012111540000811	连诛	lián zhū
RECID=R2012111540000812	连弩	lián nu
RECID=R2012111540000813	连贯	lián guàn
RECID=R2012111540000814	连挂	lián guà
RECID=R2012111540000815	连拱坝	lián gǒng bà
RECID=R2012111540000816	连茬	lián chá
RECID=R2012111540000817	连带	lián dài
RECID=R2012111540000818	连相	lián xiāng
RECID=R2012111540000819	连枷	lián jiā
RECID=R2012111540000820	连牵	lián qiān
RECID=R2012111540000821	连轴	lián zhóu
RECID=R2012111540000822	连轴转	lián zhóu zhuàn
RECID=R2012111540000823	连界	lián jiè
RECID=R2012111540000824	连种	lián zhòng
RECID=R2012111540000825	连峦	lián luán
RECID=R2012111540000826	连疮	lián chuāng
RECID=R2012111540000827	连类	lián lèi
RECID=R2012111540000828	连冠	lián guàn
RECID=R2012111540000829	连语	lián yǔ
RECID=R2012111540000830	连袂	lián mèi
RECID=R2012111540000831	连结	lián jié
RECID=R2012111540000832	连络	lián luò
RECID=R2012111540000833	连班	lián bān
RECID=R2012111540000834	连珠	lián zhū
RECID=R2012111540000835	连珠转	lián zhū zhuàn
RECID=R2012111540000836	连珠枪	lián zhū qiāng
RECID=R2012111540000837	连珠炮	lián zhū pào
RECID=R2012111540000838	连载	lián zǎi
RECID=R2012111540000839	连根	lián gēn
RECID=R2012111540000840	连根拔	lián gēn bá
RECID=R2012111540000841	连根带梢	lián gēn dài shāo
RECID=R2012111540000842	连根烂	lián gēn làn
RECID=R2012111540000843	连畔	lián pàn
RECID=R2012111540000844	连峰	lián fēng
RECID=R2012111540000845	连钱草	lián qián cǎo
RECID=R2012111540000846	连称	lián chēng
RECID=R2012111540000847	连席	lián xí
RECID=R2012111540000848	连家店	lián jiā diàn
RECID=R2012111540000849	连家铺	lián jiā pù
RECID=R2012111540000850	连宵	lián xiāo
RECID=R2012111540000851	连宵达旦	lián xiāo dó dàn
RECID=R2012111540000852	连通	lián tōng
RECID=R2012111540000853	连通器	lián tōng qì
RECID=R2012111540000854	连理	lián lǐ
RECID=R2012111540000855	连理枝	lián lǐ zhī
RECID=R2012111540000856	连接	lián jiē
RECID=R2012111540000857	连票	lián piào
RECID=R2012111540000858	连常	lián cháng
RECID=R2012111540000859	连累	lián lěi
RECID=R2012111540000860	连脚	lián jiǎo
RECID=R2012111540000861	连脚裤	lián jiǎo kù
RECID=R2012111540000862	连宿打夜	lián xiǔ dǎ yè
RECID=R2012111540000863	连裆	lián dāng
RECID=R2012111540000864	连裆码子	lián dāng mǎ zi
RECID=R2012111540000865	连裆裤	lián dāng kù
RECID=R2012111540000866	连续	lián xù
RECID=R2012111540000867	连续光谱	lián xù guāng pǔ
RECID=R2012111540000868	连续报道	lián xù bào dào
RECID=R2012111540000869	连续画	lián xù huà
RECID=R2012111540000870	连续剧	lián xù jù
RECID=R2012111540000871	连绵	lián mián
RECID=R2012111540000872	连绵字	lián mián zì
RECID=R2012111540000873	连缀	lián zhuì
RECID=R2012111540000874	连翘	lián qiáo
RECID=R2012111540000875	连铺	lián pù
RECID=R2012111540000876	连锁	lián suǒ
RECID=R2012111540000877	连锁反应	lián suǒ fǎn yìng
RECID=R2012111540000878	连锁店	lián suǒ diàn
RECID=R2012111540000879	连锁商店	lián suǒ shāng diàn
RECID=R2012111540000880	连锅端	lián guǒ duān
RECID=R2012111540000881	连窝端	lián wō duān
RECID=R2012111540000882	连属	lián zhǔ
RECID=R2012111540000883	连蒙带唬	lián mēng dài hǔ
RECID=R2012111540000884	连想	lián xiǎng
RECID=R2012111540000885	连雾	lián wù
RECID=R2012111540000886	连腮胡	lián sāi hú
RECID=R2012111540000887	连播	lián bō
RECID=R2012111540000888	连篇	lián piān
RECID=R2012111540000889	连篇累牍	lián piān lěi dú
RECID=R2012111540000890	连翩	lián piān
RECID=R2012111540000891	连襟	lián jīn
RECID=R2012111540000892	连鬓胡	lián bìn hú
RECID=R2012111540000893	连鬓胡子	lián bìn hú zi
RECID=R2012111540000894	连壤	lián rǎng
RECID=R2012111540000895	连霸	lián bà
RECID=R2012111540000896	迓	yà
RECID=R2012111540000897	迍	zhūn
RECID=R2012111540000898	迍邅	zhūn zhān
RECID=R2012111540000899	迕	wǔ
RECID=R2012111540000900	迕逆	wǔ nì
RECID=R2012111540000901	近	jìn
RECID=R2012111540000902	近人	jìn rén
RECID=R2012111540000903	近于	jìn yú
RECID=R2012111540000904	近门	jìn mén
RECID=R2012111540000905	近卫军	jìn wèi jūn
RECID=R2012111540000906	近支	jìn zhī
RECID=R2012111540000907	近友	jìn yǒu
RECID=R2012111540000908	近日	jìn rì
RECID=R2012111540000909	近水楼台	jìn shuǐ lóu tái
RECID=R2012111540000910	近水楼台先得月	jìn shuǐ lóu tái xiān dé yuè
RECID=R2012111540000911	近今	jìn jīn
RECID=R2012111540000912	近正	jìn zhèng
RECID=R2012111540000913	近功	jìn gōng
RECID=R2012111540000914	近世	jìn shì
RECID=R2012111540000915	近古	jìn gǔ
RECID=R2012111540000916	近东	jìn dōng
RECID=R2012111540000917	近代	jìn dài
RECID=R2012111540000918	近乎	jìn hu
RECID=R2012111540000919	近处	jìn chù
RECID=R2012111540000920	近边	jìn biān
RECID=R2012111540000921	近地	jìn dì
RECID=R2012111540000922	近臣	jìn chén
RECID=R2012111540000923	近在咫尺	jìn zài zhǐ chǐ
RECID=R2012111540000924	近因	jìn yīn
RECID=R2012111540000925	近岁	jìn suì
RECID=R2012111540000926	近年	jìn nián
RECID=R2012111540000927	近朱者赤，近墨者黑	jìn zhū zhě chì jìn mò zhě hēi
RECID=R2012111540000928	近似	jìn sì
RECID=R2012111540000929	近似值	jìn sìzhí
RECID=R2012111540000930	近交	jìn jiāo
RECID=R2012111540000931	近安	jìn ān
RECID=R2012111540000932	近好	jìn hǎo
RECID=R2012111540000933	近来	jìn lái
RECID=R2012111540000934	近时	jìn shí
RECID=R2012111540000935	近利	jìn lì
RECID=R2012111540000936	近体诗	jìn tǐ shī
RECID=R2012111540000937	近作	jìn zuò
RECID=R2012111540000938	近身	jìn shēn
RECID=R2012111540000939	近邻	jìn lín
RECID=R2012111540000940	近状	jìn zhuàng
RECID=R2012111540000941	近况	jìn kuàng
RECID=R2012111540000942	近忧	jìn yōu
RECID=R2012111540000943	近幸	jìn xìng
RECID=R2012111540000944	近事	jìn shì
RECID=R2012111540000945	近顷	jìn qǐng
RECID=R2012111540000946	近佳	jìn jiā
RECID=R2012111540000947	近侍	jìn shì
RECID=R2012111540000948	近侧	jìn cè
RECID=R2012111540000949	近周	jìn zhōu
RECID=R2012111540000950	近郊	jìn jiāo
RECID=R2012111540000951	近房	jìn fáng
RECID=R2012111540000952	近视	jìn shì
RECID=R2012111540000953	近视眼	jìn shì yǎn
RECID=R2012111540000954	近战	jìn zhàn
RECID=R2012111540000955	近是	jìn shì
RECID=R2012111540000956	近昵	jìn nì
RECID=R2012111540000957	近便	jìn bian
RECID=R2012111540000958	近亲	jìn qīn
RECID=R2012111540000959	近亲繁殖	jìn qīn fán zhí
RECID=R2012111540000960	近前	jìn qián
RECID=R2012111540000961	近祖	jìn zú
RECID=R2012111540000962	近耗	jìn hào
RECID=R2012111540000963	近真	jìn zhēn
RECID=R2012111540000964	近旁	jìn páng
RECID=R2012111540000965	近海	jìn hǎi
RECID=R2012111540000966	近海捕捞	jìn hǎi bǔ lāo
RECID=R2012111540000967	近悦远来	jìn yuè yuǎn lái
RECID=R2012111540000968	近理	jìn lǐ
RECID=R2012111540000969	近捷	jìn jié
RECID=R2012111540000970	近著	jìn zhù
RECID=R2012111540000971	近戚	jìn qī
RECID=R2012111540000972	近族	jìn zú
RECID=R2012111540000973	近情	jìn qíng
RECID=R2012111540000974	近密	jìn mì
RECID=R2012111540000975	近期	jìn qī
RECID=R2012111540000976	近景	jìn jǐng
RECID=R2012111540000977	近道	jìn dào
RECID=R2012111540000978	近缘	jìn yuán
RECID=R2012111540000979	近照	jìn zhào
RECID=R2012111540000980	近路	jìn lù
RECID=R2012111540000981	近瞅子	jìn chǒu zi
RECID=R2012111540000982	近影	jìn yǐng
RECID=R2012111540000983	近畿	jìn jī
RECID=R2012111540000984	返	fǎn
RECID=R2012111540000985	返工	fǎn gōng
RECID=R2012111540000986	返乡团	fǎn xiāng tuán
RECID=R2012111540000987	返本	fǎn běn
RECID=R2012111540000988	返归	fǎn guī
RECID=R2012111540000989	返老还童	fǎn lǎo huán tóng
RECID=R2012111540000990	返场	fǎn chǎng
RECID=R2012111540000991	返朴归真	fǎn pǔ guī zhēn
RECID=R2012111540000992	返朴还真	fǎn pǔ huán zhēn
RECID=R2012111540000993	返光	fǎn guāng
RECID=R2012111540000994	返回	fǎn huí
RECID=R2012111540000995	返迁	fǎn qiān
RECID=R2012111540000996	返防	fǎn fáng
RECID=R2012111540000997	返还	fǎn huán
RECID=R2012111540000998	返来复去	fǎn lái fù qù
RECID=R2012111540000999	返里	fǎn lǐ
RECID=R2012111540001000	返身	fǎn shēn
RECID=R2012111540001001	返青	fǎn qīng
RECID=R2012111540001002	返转	fǎn zhuǎn
RECID=R2012111540001003	返驾	fǎn jià
RECID=R2012111540001004	返复	fǎn fù
RECID=R2012111540001005	返修	fǎn xiū
RECID=R2012111540001006	返俗	fǎn sú
RECID=R2012111540001007	返祖现象	fǎn zǔ xiàn xiàng
RECID=R2012111540001008	返盐	fǎn yán
RECID=R2012111540001009	返顾	fǎn gù
RECID=R2012111540001010	返航	fǎn háng
RECID=R2012111540001011	返悔	fǎn huǐ
RECID=R2012111540001012	返虚入浑	fǎn xū rù hún
RECID=R2012111540001013	返销	fǎn xiāo
RECID=R2012111540001014	返程	fǎn chéng
RECID=R2012111540001015	返魂	fǎn hún
RECID=R2012111540001016	返聘	fǎn pìn
RECID=R2012111540001017	返照	fǎn zhào
RECID=R2012111540001018	返碱	fǎn jiǎn
RECID=R2012111540001019	返潮	fǎn cháo
RECID=R2012111540001020	返璞归真	fǎn pú guī zhēn
RECID=R2012111540001021	返嘴	fǎn zuǐ
RECID=R2012111540001022	返覆	fǎn fù
