RECID=R2012111530000002	一	yī
RECID=R2012111530000480	一星	yī xīng
RECID=R2012111530000481	一星半点	yī xīng bàn diǎn
RECID=R2012111530000482	一品红	yī pǐn hóng
RECID=R2012111530000483	一品锅	yī pǐn guō
RECID=R2012111530000484	一骨碌	yī gū lu
RECID=R2012111530000485	一竿子	yī gān zi
RECID=R2012111530000486	一竿子到底	yī gān zi dào dǐ
RECID=R2012111530000487	一竿子插到底	yī gān zi chā dào dǐ
RECID=R2012111530000488	一竿到底	yī gān dào dǐ
RECID=R2012111530000489	一顺	yī shùn
RECID=R2012111530000490	一顺水	yī shùn shuǐ
RECID=R2012111530000491	一俊遮百丑	yī jùn zhē bǎi chǒu
RECID=R2012111530000492	一律	yī lǜ
RECID=R2012111530000493	一脉相传	yī mài xiāng chuán
RECID=R2012111530000494	一脉相承	yī mài xiāng chéng
RECID=R2012111530000495	一将无能，累死三军	yī jiàng wú néng lèi sǐ sān jūn
RECID=R2012111530000496	一将功成万骨枯	yī jiàng gōng chéng wàn gǔ kū
RECID=R2012111530000497	一度	yī dù
RECID=R2012111530000498	一差二误	yī chā èr wù
RECID=R2012111530000499	一差二错	yī chā èr cuò
RECID=R2012111530000500	一籽一瓣儿	yī zǐ yī bànr
RECID=R2012111530000501	一总	yī zǒng
RECID=R2012111530000502	一派	yī pài
RECID=R2012111530000503	一恨千古怨	yī hèn qiān gǔ yuàn
RECID=R2012111530000504	一举	yī jǔ
RECID=R2012111530000505	一举一动	yī jǔ yī dòng
RECID=R2012111530000506	一举成名	yī jǔ chéng míng
RECID=R2012111530000507	一举两得	yī jǔ liǎng dé
RECID=R2012111530000508	一客不烦二主	yī kè bù fán èr zhǔ
RECID=R2012111530000509	一语中的	yī yǔ zhòng dì
RECID=R2012111530000510	一语双关	yī yǔ shuāng guān
RECID=R2012111530000511	一语破的	yū yǔ pò dì
RECID=R2012111530000512	一语道破	yī yǔ dào pò
RECID=R2012111530000513	一语撞倒墙	yī yǔ zhuàng dǎo qiáng
RECID=R2012111530000514	一退六二五	yī tuì liù èr wǔ
RECID=R2012111530000515	一统	yī tǒng
RECID=R2012111530000516	一统天下	yī tǒng tiān xià
RECID=R2012111530000517	一起	yī qǐ
RECID=R2012111530000518	一起子	yī qǐ zi
RECID=R2012111530000519	一样	yī yàng
RECID=R2012111530000520	一样米养百样人	yī yàng mǐ yǎng bǎi yàng rén
RECID=R2012111530000521	一根一板	yī gēn yī bǎn
RECID=R2012111530000522	一根肠子不拐弯	yī gēn cháng zi bù guǎi wān
RECID=R2012111530000523	一根肠子捅到底	yī gēn cháng zi tǒng dào dǐ
RECID=R2012111530000524	一根苦藤上的瓜	yī gēn kǔ téng shang de guā
RECID=R2012111530000525	一根萝卜两头削	yī gēn luó bo liǎng tóu xiāo
RECID=R2012111530000526	一根筋	yī gēn jīn
RECID=R2012111530000527	一根筷，两半节	yī gēn kuài liǎng bàn jié
RECID=R2012111530000528	一根蔓上的苦瓜	yī gēn wàn shang de kǔ guā
RECID=R2012111530000529	一根藤上的瓜	yī gēn téng shang de guā
RECID=R2012111530000530	一套	yī tào
RECID=R2012111530000531	一套手	yī tào shǒu
RECID=R2012111530000532	一顾倾城	yī gù qīng chéng
RECID=R2012111530000533	一致	yī zhì
RECID=R2012111530000534	一党制	yī dǎng zhì
RECID=R2012111530000535	一晃	(一)yī huǎng;(二)yī huàng
RECID=R2012111530000536	一晃眼	yī huǎng yǎn
RECID=R2012111530000537	一晌	yī shǎng
RECID=R2012111530000538	一钱不名	yī qián bù míng
RECID=R2012111530000539	一钱不值	yī qián bù zhí
RECID=R2012111530000540	一钱如命	yī qián rú mìng
RECID=R2012111530000541	一氧化碳	yī yǎng huà tàn
RECID=R2012111530000542	一笔不苟	yī bǐ bù gǒu
RECID=R2012111530000543	一笔勾	yī bǐ gōu
RECID=R2012111530000544	一笔勾销	yī bǐ gōu xiāo
RECID=R2012111530000545	一笔抹杀	yī bǐ mǒ shā
RECID=R2012111530000546	一笔抹煞	yī bǐ mǒ shā
RECID=R2012111530000547	一笑一颦	yī xiào yī pín
RECID=R2012111530000548	一笑了之	yī xiào liǎo zhī
RECID=R2012111530000549	一笑了事	yī xiào liǎo shì
RECID=R2012111530000550	一笑置之	yī xiào zhì zhī
RECID=R2012111530000551	一倡三叹	yī chàng sān tàn
RECID=R2012111530000552	一倡百和	yī chàng bǎi hè
RECID=R2012111530000553	一息	yī xī
RECID=R2012111530000554	一息尚存	yī xī shàng cún
RECID=R2012111530000555	一般	yī bān
RECID=R2012111530000556	一般无二	yī bān wú èr
RECID=R2012111530000557	一般见识	yī bān jiàn shi
RECID=R2012111530000558	一般规律	yī bān guī lǜ
RECID=R2012111530000559	一脑门子官司	yī nǎo mén zi guān si
RECID=R2012111530000560	一高二低	yī gāo èr dī
RECID=R2012111530000561	一席之地	yī xí zhī dì
RECID=R2012111530000562	一席话	yī xí huà
RECID=R2012111530000563	一准	yī zhǔn
RECID=R2012111530000564	一病不起	yī bìng bù qǐ
RECID=R2012111530000565	一旁	yī páng
RECID=R2012111530000566	一拳头砸出一眼井	yī quán tou zá chū yī yǎn jǐng
RECID=R2012111530000567	一递	yī dì
RECID=R2012111530000568	一流	yī liú
RECID=R2012111530000569	一流子	yī liú zi
RECID=R2012111530000570	一家人	yī jiā rén
RECID=R2012111530000571	一家人不说两家话	yī jiā rén bù shuō liǎng jiā huà
RECID=R2012111530000572	一家人不做两家事	yī jiā rén bù zuò liǎng jiā shì
RECID=R2012111530000573	一家门	yī jiā mén
RECID=R2012111530000574	一家之言	yī jiā zhī yán
RECID=R2012111530000575	一家子	yī jiā zi
RECID=R2012111530000576	一家不知一家苦	yā jiā bù zhī yī jiā kǔ
RECID=R2012111530000577	一家不知一家事	yī jiā bù zhī yī jiā shì
RECID=R2012111530000578	一家不知一家难	yī jiā bù zhī yī jiā nán
RECID=R2012111530000579	一家犯法，十家连坐	yā jiā fàn fǎ shí jiā lián zuò
RECID=R2012111530000580	一家有难，十户相助	yī jiā yǒu nàn shí hù xiāng zhù
RECID=R2012111530000581	一家伙	yī jiā huo
RECID=R2012111530000582	一家都有一本帐	yī jiā dōu yǒu yī běn zhàng
RECID=R2012111530000583	一家富贵千家怨	yī jiā fù guì qiān jiā yuàn
RECID=R2012111530000584	一窍不通	yī qiào bù tōng
RECID=R2012111530000585	一诺千金	yī nuò qiān jīn
RECID=R2012111530000586	一通	①yī tòng;②yī tōng
RECID=R2012111530000587	一堆	yī duī
RECID=R2012111530000588	一推六二五	yī tuī liù èr wǔ
RECID=R2012111530000589	一堆生	yī duī shēng
RECID=R2012111530000590	一掷千金	yī zhì qiān jīn
RECID=R2012111530000591	一厢情愿	yī xiāng qíng yuàn
RECID=R2012111530000592	一眼	yī yǎn
RECID=R2012111530000593	一眼眼	yī yǎn yǎn
RECID=R2012111530000594	一唱一和	yī chàng yī hè
RECID=R2012111530000595	一唱三叹	yī chàng sān tàn
RECID=R2012111530000596	一唱百和	yī chàng bǎi hè
RECID=R2012111530000597	一偏	yī piān
RECID=R2012111530000598	一得之见	yī dé zhī jiàn
RECID=R2012111530000599	一得之功	yī dé zhī gōng
RECID=R2012111530000600	一得之愚	yī dé zhī yú
RECID=R2012111530000601	一盘散沙	yī pán sǎn shā
RECID=R2012111530000602	一盘棋	yī pán qí
RECID=R2012111530000603	一脚不移	yī jiǎo bù yí
RECID=R2012111530000604	一脚去	yī jiǎo qù
RECID=R2012111530000605	一脚踢	yī jiǎo tī
RECID=R2012111530000606	一毫	yī háo
RECID=R2012111530000607	一望无边	yī wàng wú biān
RECID=R2012111530000608	一望无际	yī wàng wú jì
RECID=R2012111530000609	一着	yī zhāo
RECID=R2012111530000610	一着不慎，全盘皆输	yī zhāo bù shèn quán pán jiē shū
RECID=R2012111530000611	一着不慎，满盘皆输	yī zhāo bù shèn mǎn pán jiē shū
RECID=R2012111530000612	一清二白	yī qīng èr bái
RECID=R2012111530000613	一清二楚	yī qīng èr chǔ
RECID=R2012111530000614	一清早	yī qīng zǎo
RECID=R2012111530000615	一宿	yī xiǔ
RECID=R2012111530000616	一隅	yī yú
RECID=R2012111530000617	一隅三反	yī yú sān fǎn
RECID=R2012111530000618	一隅之见	yī yú zhī jiàn
RECID=R2012111530000619	一斑	yī bān
RECID=R2012111530000620	一搭	yī dā
RECID=R2012111530000621	一搭一档	yī dā yī dàng
RECID=R2012111530000622	一搭两用儿	yī dā liǎng yòngr
RECID=R2012111530000623	一揸	yī zhā
RECID=R2012111530000624	一揽子	yī lǎn zi
RECID=R2012111530000625	一落千丈	yī luò qiān zhàng
RECID=R2012111530000626	一朝	yī zhāo
RECID=R2012111530000627	一朝一夕	yī zhāo yī xī
RECID=R2012111530000628	一朝天子一朝臣	yī cháo tiān zǐ yī cháo chén
RECID=R2012111530000629	一朝怀胎，十月分娩	yī zhāo huái tāi shí yuè fēn miǎn
RECID=R2012111530000630	一棵树上吊死	yī kē shù shang diào sǐ
RECID=R2012111530000631	一棍子打死	yī gùn zi dǎ sǐ
RECID=R2012111530000632	一辈子	yī bèi zi
RECID=R2012111530000633	一黑早	yī hēi zǎo
RECID=R2012111530000634	一铺安心	yī pū ān xīn
RECID=R2012111530000635	一铺滩	yī pū tān
RECID=R2012111530000636	一锅烩	yī guō huì
RECID=R2012111530000637	一锅煮	yī guō zhǔ
RECID=R2012111530000638	一锅粥	yī guō zhōu
RECID=R2012111530000639	一锅端	yī guō duān
RECID=R2012111530000640	一程子	yī chéng zi
RECID=R2012111530000641	一等	yī děng
RECID=R2012111530000642	一等一	yī děng yī
RECID=R2012111530000643	一街	yī jiē
RECID=R2012111530000644	一腔	yī qiāng
RECID=R2012111530000645	一道	yī dào
RECID=R2012111530000646	一湾子	yī wān zi
RECID=R2012111530000647	一窝子	yī wō zi
RECID=R2012111530000648	一窝风	yī wō fēng
RECID=R2012111530000649	一窝蜂	yī wō fēng
RECID=R2012111530000650	一摸黑	yī mō hēi
RECID=R2012111530000651	一塌刮子	yī tā guā zi
RECID=R2012111530000652	一塌括子	yī tā guā zi
RECID=R2012111530000653	一塌胡涂	yī tā hú tu
RECID=R2012111530000654	一塌糊涂	yī tā hú tu
RECID=R2012111530000655	一鼓作气	yī gǔ zuò qì
RECID=R2012111530000656	一概	yī gài
RECID=R2012111530000657	一概而论	yī gài ér lùn
RECID=R2012111530000658	一碗水端平	yī wǎn shuǐ duān píng
RECID=R2012111530000659	一碗豆腐，豆腐一碗	yī wǎn dòu fu dòu fu yī wǎn
RECID=R2012111530000660	一碗饸饹，饸饹一碗	yī wǎn hé le hé le yī wǎn
RECID=R2012111530000661	一零儿	yī língr
RECID=R2012111530000662	一嘟噜	yī dū lu
RECID=R2012111530000663	一歇	yī xiē
RECID=R2012111530000664	一路	yī lù
RECID=R2012111530000665	一路平安	yī lù píng ān
RECID=R2012111530000666	一路来	yī lù lái
RECID=R2012111530000667	一路货	yī lù huò
RECID=R2012111530000668	一路货色	yī lù huò sè
RECID=R2012111530000669	一路顺风	yī lù shùn fēng
RECID=R2012111530000670	一锤子买卖	yī chuí zi mǎi mai
RECID=R2012111530000671	一锤定音	yī chuí dìng yīn
RECID=R2012111530000672	一筹莫展	yī chóu mò zhǎn
RECID=R2012111530000673	一触即发	yī chù jí fā
RECID=R2012111530000674	一触即溃	yī chù jí kuì
RECID=R2012111530000675	一新	yī xīn
RECID=R2012111530000676	一意	yī yì
RECID=R2012111530000677	一意孤行	yī yì gū xíng
RECID=R2012111530000678	一满	yī mǎn
RECID=R2012111530000679	一溜	
RECID=R2012111530000680	一溜水	yī liù shuǐ
RECID=R2012111530000681	一溜风	yī liù fēng
RECID=R2012111530000682	一溜歪斜	yī liù wāi xié
RECID=R2012111530000683	一溜烟	yī liù yān
RECID=R2012111530000684	一溜遭	yī liù zāo
RECID=R2012111530000685	一溜鞭光	yī liù biān guāng
RECID=R2012111530000686	一窠麻	yī kē má
RECID=R2012111530000687	一碧	yī bì
RECID=R2012111530000688	一碧万顷	yī bì wàn qǐng
RECID=R2012111530000689	一模一样	yī mú yī yàng
RECID=R2012111530000690	一箍脑儿	yī gū nǎor
RECID=R2012111530000691	一鼻孔出气	yī bí kǒng chū qì
RECID=R2012111530000692	一端	yī duān
RECID=R2012111530000693	一滴	yī dī
RECID=R2012111530000694	一撮	yī cuō
RECID=R2012111530000695	一趟平	yī tāng píng
RECID=R2012111530000696	一撸到底	yī lū dào dǐ
RECID=R2012111530000697	一醉解千愁	yī zuì jiě qiān chóu
RECID=R2012111530000698	一暴十寒	yī pù shí hán
RECID=R2012111530000699	一瞑不视	yī míng bù shì
RECID=R2012111530000700	一箭之地	yī jiàn zhī dì
RECID=R2012111530000701	一箭双雕	yī jiàn shuāng diāo
RECID=R2012111530000702	一箭易断，百箭难折	yī jiàn yì duàn bǎi jiàn nán zhé
RECID=R2012111530000703	一德一心	yī dé yī xīn
RECID=R2012111530000704	一潭死水	yī tán sǐ shuǐ
RECID=R2012111530000705	一霎	yī shà
RECID=R2012111530000706	一霎那	yī shà nà
RECID=R2012111530000707	一霎眼	yī shà yǎn
RECID=R2012111530000708	一篙竿打一船人	yī gāo gān dǎ yī chuán rén
RECID=R2012111530000709	一瞥	yī piē
RECID=R2012111530000710	一壁	yī bì
RECID=R2012111530000711	一壁厢	yī bì xiāng
RECID=R2012111530000712	一瞬	yī shùn
RECID=R2012111530000713	一臂之力	yī bì zhī lì
RECID=R2012111530000714	一戳四直溜	yī chuō sì zhí liu
RECID=R2012111530000715	一蹶不振	yī jué bù zhèn
RECID=R2012111530000716	一蹴	yī cù
RECID=R2012111530000717	一蹴可几	yī cù kě jī
RECID=R2012111530000718	一蹴而就	yī cù ér jiù
RECID=R2012111530000719	一蟹不如一蟹	yī xiè bù rú yī xiè
RECID=R2012111530000720	一鳞半爪	yī lín bàn zhǎo
RECID=R2012111530000721	一颦一笑	yī pín yī xiào
RECID=R2012111530000722	二	èr
RECID=R2012111530000723	二一次	èr yī cì
RECID=R2012111530000724	二一添作五	èr yī tiān zuò wǔ
RECID=R2012111530000725	二乙醚	èr yǐ mí
RECID=R2012111530000726	二二乎乎	èr èr hū hū
RECID=R2012111530000727	二二虎虎	èr èr hǔ hǔ
RECID=R2012111530000728	二二糊糊	èr èr hū hū
RECID=R2012111530000729	二十八星瓢虫	èr shí bā xīng piáo chóng
RECID=R2012111530000730	二十八宿	èr shí bā xiù
RECID=R2012111530000731	二十五里骂知县	èr shí wǔ lǐ mà zhī xiàn
RECID=R2012111530000732	二十四节气	èr shí sì jié qì
RECID=R2012111530000733	二十四史	èr shí sì shǐ
RECID=R2012111530000734	二十四孝	èr shí sì xiào
RECID=R2012111530000735	二十响	èr shí xiǎng
RECID=R2012111530000736	二人台	èr rén tái
RECID=R2012111530000737	二人同心，其利断金	èr rén tóng xīn qí lì duàn jīn
RECID=R2012111530000738	二人合心，黄土成金	èr rén hé xīn huáng tǔ chéng jīn
RECID=R2012111530000739	二人转	èr rén zhuàn
RECID=R2012111530000740	二大流	èr dà liú
RECID=R2012111530000741	二小	èr xiǎo
RECID=R2012111530000742	二门	èr mén
RECID=R2012111530000743	二马一虎	èr mǎ yī hǔ
RECID=R2012111530000744	二马虎	èr mǎ hu
RECID=R2012111530000745	二天	èr tiān
RECID=R2012111530000746	二元论	èr yuán lùn
RECID=R2012111530000747	二五	èr wǔ
RECID=R2012111530000748	二五眼	èr wǔ yǎn
RECID=R2012111530000749	二不挂五	èr bù guà wǔ
RECID=R2012111530000750	二不隆冬	èr bù lóng dōng
RECID=R2012111530000751	二不愣	èr bù lèng
RECID=R2012111530000752	二不溜子	èr bù liū zi
RECID=R2012111530000753	二手	èr shǒu
RECID=R2012111530000754	二手货	èr shǒu huò
RECID=R2012111530000755	二手烟	èr shǒu yān
RECID=R2012111530000756	二毛	èr máo
RECID=R2012111530000757	二毛子	èr máo zi
RECID=R2012111530000758	二化螟	èr huà míng
RECID=R2012111530000759	二斤半	èr jīn bàn
RECID=R2012111530000760	二月二龙抬头	èr yuè èr lóng tái tóu
RECID=R2012111530000761	二六时	èr liù shí
RECID=R2012111530000762	二六板	èr liù bǎn
RECID=R2012111530000763	二心	èr xīn
RECID=R2012111530000764	二尺半	èr chǐ bàn
RECID=R2012111530000765	二丑	èr chǒu
RECID=R2012111530000766	二乎	èr hu
RECID=R2012111530000767	二皮脸	èr pí liǎn
RECID=R2012111530000768	二老	èr lǎo
RECID=R2012111530000769	二地主	èr dì zhǔ
RECID=R2012111530000770	二过一	èr guò yī
RECID=R2012111530000771	二百五	èr bǎi wǔ
RECID=R2012111530000772	二吊子	èr diào zi
RECID=R2012111530000773	二年生	èr nián shēng
RECID=R2012111530000774	二传手	èr chuán shǒu
RECID=R2012111530000775	二伏	èr fú
RECID=R2012111530000776	二合二面	èr hé èr miàn
RECID=R2012111530000777	二次方程	èr cì fāng chéng
RECID=R2012111530000778	二次电池	èr cì diàn chí
RECID=R2012111530000779	二次曲线	èr cì qū xiàn
RECID=R2012111530000780	二次曲面	èr cì qū miàn
RECID=R2012111530000781	二次污染物	èr cì wū rǎn wù
RECID=R2012111530000782	二次能源	èr cì néng yuán
RECID=R2012111530000783	二产	èr chǎn
RECID=R2012111530000784	二米饭	èr mǐ fàn
RECID=R2012111530000785	二异子	èr yì zi
RECID=R2012111530000786	二进制	èr jìn zhì
RECID=R2012111530000787	二进宫	èr jìn gōng
RECID=R2012111530000788	二扯子	èr chě zi
RECID=R2012111530000789	二把刀	èr bǎ dāo
RECID=R2012111530000790	二把手	èr bǎ shǒu
RECID=R2012111530000791	二花脸	èr huā liǎn
RECID=R2012111530000792	二杆子	èr gǎn zi
RECID=R2012111530000793	二极管	èr jí guǎn
RECID=R2012111530000794	二尾子	èr yǐ zi
RECID=R2012111530000795	二拇指	èr mǔ zhǐ
RECID=R2012111530000796	二事	èr shì
RECID=R2012111530000797	二虎	èr hu
RECID=R2012111530000798	二虎八咭	èr hu bā ji
RECID=R2012111530000799	二虎相斗，必有一伤	èr hǔ xiāng dòu bì yǒu yī shāng
RECID=R2012111530000800	二舍	èr shè
RECID=R2012111530000801	二河水	èr hé shuǐ
RECID=R2012111530000802	二性子	èr xìng zi
RECID=R2012111530000803	二郎腿	èr láng tuǐ
RECID=R2012111530000804	二房	èr fáng
RECID=R2012111530000805	二房东	èr fáng dōng
RECID=R2012111530000806	二话	èr huà
RECID=R2012111530000807	二话没说	èr huà méi shuō
RECID=R2012111530000808	二弦	èr xián
RECID=R2012111530000809	二驾	èr jià
RECID=R2012111530000810	二线	èr xiàn
RECID=R2012111530000811	二荤铺	èr hūn pù
RECID=R2012111530000812	二胡	èr hú
RECID=R2012111530000813	二荒地	èr huāng dì
RECID=R2012111530000814	二面	èr miàn
RECID=R2012111530000815	二面角	èr miàn jiǎo
RECID=R2012111530000816	二重性	èr chóng xìng
RECID=R2012111530000817	二重唱	èr chóng chàng
